"UserID","Username","GlobalRank","PP","RME","RMERanking","Location"
27866866,"BlackShowYT",1427429,484.974,1447.50199871071,8700,"Russian Federation"
26627197,"NBWKelleR",204511,3440.61,1447.4862324702,8701,"Germany"
6410878,"pomroz",15217,7844.55,1447.46407523379,8702,"France"
19553119,"MsGummi",173632,3743.44,1447.4586424083,8703,"Brazil"
9297086,"Hiroaki",9202,8661.97,1447.44096261343,8704,"United States"
21284368,"MyAimDeez",129423,4294.88,1447.43285860872,8705,"United States"
7280261,"cman2270",29538,6748.99,1447.42855507558,8706,"United States"
8240580,"failaip12",51111,5852.27,1447.38806030736,8707,"Serbia"
24989130,"tenxxx",33939,6522.52,1447.38712821526,8708,"Japan"
30509546,"hukaku",98461,4770.25,1447.35280555752,8709,"Russian Federation"
19890605,"iamlyxus",67292,5401.91,1447.34525020099,8710,"Germany"
9531903,"FrenZ",1632,11661.5,1447.29163261603,8711,"United States"
21431886,"IsacJSY",207814,3410.68,1447.28725799381,8712,"Jersey"
8293907,"Keyl25",26454,6928.68,1447.26277387994,8713,"Russian Federation"
29523092,"otcuser",262592,2975.93,1447.25918687446,8714,"Russian Federation"
17515696,"Yan9",58217,5637.71,1447.25335621292,8715,"Malaysia"
6264519,"Milla[Monkey]",399213,2223.76,1447.24499554778,8716,"France"
9583308,"Tume",31545,6642.53,1447.24339250909,8717,"Finland"
9357932,"- Ethereal -",35480,6450.16,1447.22331147645,8718,"Netherlands"
19445119,"Sunset",24525,7055.39,1447.20970761444,8719,"United States"
10636014,"Shtewie",98329,4773.11,1447.20225890043,8720,"Canada"
27827553,"Rotulopyo",214579,3352.06,1447.16828696285,8721,"Uruguay"
11719422,"ASliceOfPi",158670,3912.39,1447.14367205071,8722,"United States"
20752007,"Meyomi",21865,7239.84,1447.13760022117,8723,"Indonesia"
10248474,"10 litrov piva",10969,8388.96,1447.13144558023,8724,"Russian Federation"
4576295,"Fudy",1382,11986.3,1447.13088371863,8725,"Chile"
17671153,"- ice -",5988,9405.17,1447.12561333499,8726,"Colombia"
29925504,"poftokyo",126114,4342.56,1447.09093931438,8727,"Russian Federation"
8921554,"hlv",40220,6245.22,1447.08048433637,8728,"Colombia"
6695155,"Ankay",1909,11378.1,1447.06964705868,8729,"France"
16901335,"Hinanawi Momoko",99397,4755.31,1447.04796666256,8730,"China"
13685370,"Anv0rteP",51279,5846.77,1447.0190533453,8731,"Spain"
12020859,"CM Legacy",201119,3472.07,1446.97813436514,8732,"Argentina"
4643576,"veke",4031,10087.9,1446.97647700953,8733,"Finland"
13392019,"TheBrandon57",97171,4792.32,1446.94974664633,8734,"Argentina"
8685078,"Hiiro Myo",15083,7856.9,1446.94968787875,8735,"Ukraine"
20089142,"Kemae",595,13551.9,1446.94852286067,8736,"United States"
11584592,"PollyDoggo",321698,2606.48,1446.9417824882,8737,"Malaysia"
8880766,"xPJS",88866,4942.58,1446.93703575033,8738,"United States"
14248337,"Sarua",33875,6525.37,1446.90472072296,8739,"South Korea"
